obs,country,country_map,code,region,ims,gdp_pc,gov_ed,unem,timebuss,psa,cci,imp,mena,govexp,che,democracy,democracy2,hief,refug,richoil,oilrents
86,Honduras,Honduras,HND,Latin America & Caribbean,0.347613516,5283.409956,6.412970066,6.146999836,41,-0.4689144,-0.5667076,Maintain,0,14.30524677,7.48378992,7,1,22.9,28,0,0
87,"Hong Kong SAR, China",NA,HKG,East Asia & Pacific,38.94993992,57215.9704,3.262120008,3.319999933,1.5,1.046295,1.651314,NA,0,9.642869056,NA,NA,0,NA,109,0,0
88,Hungary,Hungary,HUN,Europe & Central Asia,4.562465252,27841.81248,4.518660069,6.813000202,7,0.7462977,0.1486354,Raise,0,19.72962832,6.88948917,10,2,23.2,4383,0,0.076083132
89,Iceland,Iceland,ISL,Europe & Central Asia,11.3901495,51739.42676,7.512909889,3.979000092,12,1.308164,1.93911,Maintain,0,23.33316287,8.13130188,NA,3,NA,170,0,0
90,India,India,IND,South Asia,0.399752709,5454.347104,NA,5.565000057,30,-0.9484934,-0.3520183,Maintain,0,10.42829069,3.59565997,9,2,NA,201379,0,0.353606122
91,Indonesia,Indonesia,IDN,East Asia & Pacific,0.127675543,10149.60391,3.583600044,4.513999939,49.3,-0.6150607,-0.4583673,Maintain,0,9.74941377,2.99113512,9,2,80.3,5954,0,0.804086843
94,Ireland,Ireland,IRL,Europe & Central Asia,15.91693657,71243.42071,3.758290052,9.906000137,12,0.9084555,1.615371,Maintain,0,12.2501386,7.31716299,10,3,17.4,6108,0,0
95,Isle of Man,Isle of Man,IMN,Europe & Central Asia,51.51629073,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
97,Italy,Italy,ITA,Europe & Central Asia,9.680767742,40444.80765,4.073629856,11.89599991,11,0.3759197,0.0162641,Maintain,0,19.11034189,8.85689163,10,3,11,118036,0,0.045311862
98,Jamaica,Jamaica,JAM,Latin America & Caribbean,0.829367047,9470.797195,5.455770016,13.51099968,3,0.0964845,-0.2316051,Maintain,0,13.81720871,5.62562609,9,2,21,13,0,0
99,Japan,Japan,JPN,East Asia & Pacific,1.614775057,39672.94845,NA,3.400000095,11.2,1.065128,1.569181,Maintain,0,19.81802673,10.88550663,10,3,1.9,2479,0,0.002049635
101,Kazakhstan,Kazakhstan,KAZ,Europe & Central Asia,20.12330509,24290.41763,2.788579941,4.929999828,11,-0.0350003,-0.8526416,Raise,0,11.63272615,3.04051089,-6,1,53.8,701,0,6.735618219
102,Kenya,Kenya,KEN,Sub-Saharan Africa,2.354722885,3824.759543,5.271339893,2.79399991,28,-1.244406,-1.013479,Lower,0,14.08762813,5.21938848,9,1,85.5,553907,0,0
